cod_municipio,ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp
521973,2016,2,N,8,0,0,8,1,0,0
521975,2016,2,N,0,0,39,39,0,0,1
521980,2016,2,S,0,0,19,19,0,0,1
521990,2016,2,S,8,0,1,9,0.8888888889,0,0.1111111111
522000,2016,2,NA,0,0,0,0,-1,-1,-1
522005,2016,2,N,4,0,0,4,1,0,0
522010,2016,2,S,14,1,0,15,0.9333333333,0.0666666667,0
522015,2016,2,N,0,0,11,11,0,0,1
522020,2016,2,N,28,7,5,40,0.7,175,125
522026,2016,2,S,13,1,2,16,0.8125,0.0625,125
522028,2016,2,S,6,1,0,7,0.8571428571,0.1428571429,0
522040,2016,2,N,13,0,1,14,0.9285714286,0,0.0714285714
522045,2016,2,S,28,1,1,30,0.9333333333,0.0333333333,0.0333333333
522050,2016,2,N,2,2,2,6,0.3333333333,0.3333333333,0.3333333333
522060,2016,2,S,3,14,16,33,0.0909090909,0.4242424242,0.4848484848
522068,2016,2,N,2,0,0,2,1,0,0
522070,2016,2,N,0,0,8,8,0,0,1
522100,2016,2,S,0,6,1,7,0,0.8571428571,0.1428571429
522108,2016,2,N,0,0,1,1,0,0,1
522119,2016,2,N,3,0,3,6,0.5,0,0.5
522130,2016,2,N,8,0,0,8,1,0,0
522140,2016,2,S,13,0,0,13,1,0,0
522145,2016,2,N,7,1,2,10,0.7,0.1,0.2
522150,2016,2,N,11,0,0,11,1,0,0
522155,2016,2,N,10,1,1,12,0.8333333333,0.0833333333,0.0833333333
522157,2016,2,S,9,2,6,17,0.5294117647,0.1176470588,0.3529411765
522160,2016,2,N,16,3,0,19,0.8421052632,0.1578947368,0
522170,2016,2,N,11,0,2,13,0.8461538462,0,0.1538461538
522180,2016,2,N,9,1,1,11,0.8181818182,0.0909090909,0.0909090909
522185,2016,2,S,25,9,3,37,0.6756756757,0.2432432432,0.0810810811
522190,2016,2,S,7,0,3,10,0.7,0,0.3
522200,2016,2,S,28,0,2,30,0.9333333333,0,0.0666666667
522205,2016,2,N,2,0,3,5,0.4,0,0.6
522220,2016,2,S,5,0,0,5,1,0,0
522230,2016,2,S,21,0,0,21,1,0,0
520005,2017,1,N,2,4,1,7,0.2857142857,0.5714285714,0.1428571429
520010,2017,1,N,25,4,5,34,0.7352941176,0.1176470588,0.1470588235
