cod_municipio,ano,item1_mde,item1_fundeb,item1_mde,item1_fundeb,item3e4_mde_edu_inf,item3e4_fundeb_pag_mag,item3e4_mde_edu_fun,item3e4_fundeb_pag_mag,item3e4_fundeb_pag_mag,dedu_const,item_perc_certi
5212600,2015,"9759526,55","530086,61","9229439,94","905438,59",0,"1908149,27","1908149,27","778564,57","77803,02","-800107,83","27,75"
5212709,2015,"11114554,15","214067,21","10900486,94","3313358,29",0,"4503126,14","4503126,14","2498847,02","844119,19","1372502,2","28,17"
5212808,2015,"15079406,49","1705266,27","13374140,22","3215409,89",0,"6075986,6","6075986,6","2665443,35","558858,32","1450201,2","30,68"
5212907,2015,"10086112,62","311356,57","9774756,05","479966,19","405582,11","965239,03","1370821,14","459535,06","43405,61","-957817,85","23,09"
5212956,2015,"11256682,21","690785,48","10565896,73","1549748,24","129059,6","2759116,32","2888175,92","1492797,51","295088,22","-335780,7","28,64"
5213004,2015,"17722972,39","1387182,93","16335789,46","5570281,92","15,9","8857595,2","8857611,1","4093794,42","1704462,01","3087133,44","32,56"
5213053,2015,"10331222,83","1118736,45","9212486,38","1053511,76",0,"2286466,86","2286466,86","762389,57","300656,22","-566663,21","27,62"
5213087,2015,"62824614,01","10281561,82","52543052,19","13343742,99","3495806,59","20629225,42","24125032,01","12059720,26","1403333,84","5723400,93","29,29"
5213103,2015,"109705653,18","28210552,72","81495100,46","22801059,84","7046218,71","34606999,01","41653217,72","21008194,32","1506183,78","8881037,75","29,87"
5213400,2015,"9425379,69","296791,67","9128588,02","285008,92",0,"1187710,38","1187710,38","271051,14","16886,84","-1457556,18","28,07"
5213509,2015,"10155924,31","568447,26","9587477,05","3069785,6",0,"4356318,49","4356318,49","2542185,46","646750,92","1517683,12","27,95"
5213707,2015,"18337799,82","2659986,94","15677812,88","3561819,37","88931,68","6228719,99","6317651,67","2275954,18","1434822,66","686275,39","30,71"
5213756,2015,"39583888,78","4661955,69","34921933,09","6431767,49",0,"15348566,32","15348566,32","6193057,47","216859,79","1491723,88","35,01"
5213772,2015,"9606118,49","257984,13","9348134,36","1868437,67",2148,"3553916,93","3556064,93","1579558,91","301769,21","315139,47","33,74"
5213806,2015,"68385704,35","13307230,2","55078474,15","11873858,36","1521318,21","17671613,58","19192931,79","8322306,61","3801789,73","1812356,52","25,42"
5213855,2015,"9090523,92","332656,39","8757867,53","960714,53",0,"1565283,74","1565283,74","706063,27","296006,42","-719598,58","25,13"
5213905,2015,"12945658,91","791088,31","12154570,6","1577827,86","47520,45","2987120,9","3034641,35","1272073,33","359665,21","-628500,43","28,3"
5214002,2015,"26433717,92","2412702,35","24021015,57","6195915,47",0,"10367716,29","10367716,29","4480400,02","1991789,33","1758995,74","32,57"
5214051,2015,"12958990,03","523092,8","12435897,23","2264299,28","66110,2","4748577,62","4814687,82","1063544,39","860070,23","382959,97","34,2"
5214101,2015,"10134071,87","613358,33","9520713,54","1526654,7",0,"2570704,05","2570704,05","1269447,31","384699,95","-57749,94","25,94"
5214408,2015,"13385744,52","1161180,35","12224564,17","2447905,11",0,"3574325,38","3574325,38","1583336,79","900227,52","187400,71","25,3"
5214507,2015,"50289136,07","11508217,52","38780918,55","12353863,73","349476,99","19449587,47","19799064,46","10059170,94","2469304,02","5012009,96","29,4"
5214606,2015,"63371178,68","12196954,02","51174224,66","16502618,99","5591409,04","42052191,76","47643600,8","28222092,15",0,"20976917,84","42,08"
5214705,2015,"9037697,3","404278,55","8633418,75","1290157,51","456416,56","2460469,82","2916886,38","1034182,99","283498,62","-294759,97","35,54"
5214804,2015,"9591597,13","317670,11","9273927,02","385497,42","32610,58","1199149,67","1231760,25","280553,64","153131,97","-1304442,75","26,44"
5214838,2015,"30212209,09","3162765,65","27049443,44","5344032,59","4056,12","11008465,65","11012521,77","4822533,27","772459,8","489181,34","34,83"
5214861,2015,"10174516,04","482132,01","9692384,03","1599774,07","179,5","2958744,35","2958923,85","1591981,14","45621,19","-127796,47","30,34"
5214879,2015,"9078764,14","235054,16","8843709,98","1160078,8","145622,23","2343317,79","2488940,02","1121200,96","156769,56","-421385,26","32,06"
5214903,2015,"11519469,38","512058,72","11007410,66","1450978,98",0,"3052507,55","3052507,55","922434,8","602504,39","-385588,88","29,85"
5215009,2015,"12550366,55","1856569,77","10693796,78","2485347,65",0,"4139783,38","4139783,38","2202473,92","270939,96","435036,09","29,52"
5215207,2015,"10659391,73","653156,09","10006235,64","930498,04",0,"2103825,93","2103825,93","720584,45","261318,61","-827377,18","27,5"
5215231,2015,"54277509,15","12456485,58","41821023,57","34957627,99","304030,11","37304899,18","37608929,29","24675651,43","9193241,45","27112618,07","19,34"
5215256,2015,"11075410,37","980965,6","10094444,77","1368667,23",0,"3081611,27","3081611,27","1369279,15","1151,96","-508310,95","32,41"
5215306,2015,"23698967,66","1441801,58","22257166,08","5497811,49","123358,06","9551728,35","9675086,41","4898485,39","763022,04","1379142,12","35,01"
5215405,2015,"12367380,26","779836,04","11587544,22","2174343,52","52307,84","4713038,37","4765346,21","2183009,48",0,"1219759,65","28,67"
5215504,2015,"28322492,75","9426982,86","18895509,89","1814811,68","212633,44","7830456,39","8043089,83","1617435,78","169755,13","-1503384,95","33,71"
5215603,2015,"33692572,44","5388910,56","28303661,88","20239142,16","2225407,56","24762197,38","26987604,94","15068394,55","7380202,56","17668077,99","27,66"
5215652,2015,"12059674,86","748498,49","11311176,37","1232783,15","196908,76","2260572,54","2457481,3","799104,03","439976,01","-725999,67","26,4"
5215702,2015,"50425666,2","7915492,66","42510173,54","6888783,46","198598,71","12483052,98","12681651,69","4156066,08","2836962,82","-139912,14","25,43"
5215801,2015,"8912056,36","175433,93","8736622,43","410597,85",0,"1589971,78","1589971,78","365430,25","61760,76","-1073770,51","29,89"
5215900,2015,"12361670,66","624745,69","11736924,97","1639013,82","3536,41","3151782,13","3155318,54","1623576,99","100522,4","-350050,48","28,36"
5216007,2015,"10440900,11","509034,81","9931865,3","914741,44",0,"1958274,31","1958274,31","827928,49","120462,79","-857327,72","26,97"
5216304,2015,"14159336,25","1404643,57","12754692,68","3632593,78","10086,05","5319437,2","5329523,25","3025962,22","612646,11","1238592,84","28,89"
5216403,2015,"38687517,05","4947585,5","33739931,55","4774098,15","24708,01","13561297,08","13586005,09","3595981,78","2122396,4",3500117,"26,07"
5216452,2015,"19774343,76","1335343,19","18439000,57","1663618,05","159265,33","3846204,6","4005469,93","1773336,97","46897,83","-1548952,59","28,09"
5216809,2015,"15500186,11","2543649,88","12956536,23","1916705,24","4981,73","4410506,54","4415488,27","1886856,76","27106,42","-553868,85","32,06"
5216908,2015,"13331436,58","3982065,73","9349370,85","708346,95",0,"2878187,5","2878187,5","589812,77","126566,32","-986406,37","28,99"
5217104,2015,"39058746,03",5340311,"33718435,03","8036669,34","1054594,98","13027595,2","14082190,18","5563178,79","2635119,66","2268256,63","30,25"
5217203,2015,"19086699,77","3407537,85","15679161,92","3221684,12","1596,82","5894915,22","5896512,04","2499867,92","584553,78","305961,06","29,29"
5217302,2015,"28374365,87","3987631,21","24386734,66","8324003,15","19636,5","11713104,97","11732741,47","7015590,71","1588990,9","3988217,89","27,29"
5217401,2015,"36292642,9","3898057,59","32394585,31","6185728,08","817654,62","8701628,52","9519283,14","4848628,06","1425524,75","94404,27","25,97"
5217609,2015,"58371728,58","18219737,39","40151991,19","53606581,97",0,"70343644,76","70343644,76","51091576,91","10428022,9","48669430,46","37,13"
5217708,2015,"27991760,19","3618234,17","24373526,02","4885129,16",0,"7707884,37","7707884,37","4715830,11","422907,79","657246,78","25,19"
5218003,2015,"47580176,07","9957314,87","37622861,2","15234528,51","30695,55","23516898,5","23547594,05","15192167,85","395634,11","9031407,27","30,51"
5218052,2015,"15854117,84","1043639,31","14810478,53","1481466,43","28801,34","3346946,4","3375747,74","1303127,92","172856,68",-1028453,"27,78"
5218102,2015,"16284403,59","1021760,98","15262642,61","1447013,5","203637,52","2411789,21","2615426,73","1438984,59",2000,"-1398377,48","24,65"
