ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp,cod_municipio
2017,1,S,1,2,2,5,20,40,40,5203559
2017,1,S,13,1,1,15,86.6666666667,6.6666666667,6.6666666667,5203575
2017,1,N,5,0,0,5,100,0,0,5203609
2017,1,S,8,1,0,9,88.8888888889,11.1111111111,0,5203807
2017,1,S,12,0,2,14,85.7142857143,0,14.2857142857,5203906
2017,1,S,5,0,1,6,83.3333333333,0,16.6666666667,5203939
2017,1,S,2,0,1,3,66.6666666667,0,33.3333333333,5203962
2017,1,S,8,1,0,9,88.8888888889,11.1111111111,0,5204003
2017,1,S,10,8,0,18,55.5555555556,44.4444444444,0,5204102
2017,1,N,8,0,0,8,100,0,0,5204201
2017,1,S,10,2,3,15,66.6666666667,13.3333333333,20,5204250
2017,1,N,25,3,0,28,89.2857142857,10.7142857143,0,5204300
2017,1,N,18,2,6,26,69.2307692308,7.6923076923,23.0769230769,5204409
2017,1,N,16,0,0,16,100,0,0,5204508
2017,1,N,7,0,1,8,87.5,0,12.5,5204557
2017,1,S,11,0,0,11,100,0,0,5204607
2017,1,S,10,0,0,10,100,0,0,5204656
2017,1,S,7,5,2,14,50,35.7142857143,14.2857142857,5204706
2017,1,N,5,7,1,13,38.4615384615,53.8461538462,7.6923076923,5204805
2017,1,N,6,0,0,6,100,0,0,5204854
2017,1,S,9,13,1,23,39.1304347826,56.5217391304,4.347826087,5204904
2017,1,S,7,1,0,8,87.5,12.5,0,5204953
2017,1,S,8,3,0,11,72.7272727273,27.2727272727,0,5205000
2017,1,S,6,1,1,8,75,12.5,12.5,5205059
2017,1,NA,0,0,0,0,-1,-1,-1,5205109
2017,1,S,10,0,0,10,100,0,0,5205208
2017,1,NA,0,0,0,0,-1,-1,-1,5205307
2017,1,S,15,3,0,18,83.3333333333,16.6666666667,0,5205406
2017,1,N,10,3,3,16,62.5,18.75,18.75,5205455
2017,1,N,9,1,0,10,90,10,0,5205471
2017,1,N,14,18,8,40,35,45,20,5205497
2017,1,S,24,15,5,44,54.5454545455,34.0909090909,11.3636363636,5205513
2017,1,S,1,7,0,8,12.5,87.5,0,5205521
2017,1,S,0,3,0,3,0,100,0,5205703
2017,1,S,20,4,0,24,83.3333333333,16.6666666667,0,5205802
2017,1,S,21,1,2,24,87.5,4.1666666667,8.3333333333,5205901
2017,1,S,5,53,15,73,6.8493150685,72.602739726,20.5479452055,5206206
2017,1,S,7,1,0,8,87.5,12.5,0,5206305
2017,1,S,34,5,3,42,80.9523809524,11.9047619048,7.1428571429,5206404
2017,1,S,10,0,0,10,100,0,0,5206503
2017,1,S,5,1,0,6,83.3333333333,16.6666666667,0,5206602
2017,1,S,2,1,2,5,40,20,40,5206701
2017,1,S,6,0,0,6,100,0,0,5206800
2017,1,N,10,0,0,10,100,0,0,5206909
2017,1,N,3,5,0,8,37.5,62.5,0,5207105
2017,1,N,16,1,3,20,80,5,15,5208301
2017,1,S,6,4,3,13,46.1538461538,30.7692307692,23.0769230769,5207253
2017,1,S,16,4,0,20,80,20,0,5207352
2017,1,S,7,3,0,10,70,30,0,5207402
2017,1,N,19,0,1,20,95,0,5,5207501
2017,1,N,16,1,2,19,84.2105263158,5.2631578947,10.5263157895,5207535
2017,1,N,10,2,2,14,71.4285714286,14.2857142857,14.2857142857,5207600
2017,1,N,0,19,4,23,0,82.6086956522,17.3913043478,5207808
2017,1,S,65,21,2,88,73.8636363636,23.8636363636,2.2727272727,5207907
2017,1,N,7,1,0,8,87.5,12.5,0,5208004
2017,1,S,7,5,2,14,50,35.7142857143,14.2857142857,5208103
2017,1,S,2,8,4,14,14.2857142857,57.1428571429,28.5714285714,5208152
2017,1,S,4,1,6,11,36.3636363636,9.0909090909,54.5454545455,5208400
2017,1,S,3,5,0,8,37.5,62.5,0,5208509
2017,1,S,41,1,2,44,93.1818181818,2.2727272727,4.5454545455,5208608
2017,1,S,32,1,2,35,91.4285714286,2.8571428571,5.7142857143,5208707
2017,1,N,8,11,1,20,40,55,5,5208806
